team,current_attack,current_defense,current_recent_form,behavior_attack_final,behavior_defense_final,behavior_recent_form,external_overall_strength,calibrated_attack,calibrated_defense,calibrated_recent_form,attack_delta,defense_delta,recent_form_delta,data_quality_current,data_quality_proposed,source,warning,notes
Canada,0.61,0.55,0.63,0.573,0.67,0.594,,0.61,0.55,0.63,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Qatar,0.45,0.43,0.47,0.415,0.41,0.35,,0.45,0.43,0.47,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Mexico,0.66,0.64,0.66,0.601,0.795,0.829,,0.66,0.64,0.66,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
South Korea,0.64,0.61,0.64,0.605,0.609,0.696,,0.64,0.61,0.64,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Algeria,0.569,0.576,0.594,0.612,0.637,0.697,,0.569,0.576,0.594,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Argentina,0.677,0.704,0.751,0.708,0.798,0.886,0.893,0.677,0.704,0.751,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Australia,0.547,0.579,0.585,0.54,0.646,0.665,,0.547,0.579,0.585,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Austria,0.595,0.579,0.614,0.7,0.648,0.764,,0.595,0.579,0.614,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Belgium,0.585,0.564,0.574,0.667,0.596,0.631,,0.585,0.564,0.574,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Brazil,0.653,0.646,0.659,0.626,0.603,0.657,0.857,0.653,0.646,0.659,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Cape Verde,0.533,0.579,0.533,0.495,0.646,0.494,,0.533,0.579,0.533,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Curaçao,0.554,0.53,0.513,0.562,0.485,0.426,,0.554,0.53,0.513,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Ecuador,0.486,0.612,0.541,0.35,0.756,0.519,,0.486,0.612,0.541,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Egypt,0.531,0.586,0.555,0.486,0.669,0.566,,0.531,0.586,0.555,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
France,0.7,0.638,0.73,0.784,0.576,0.817,0.889,0.7,0.638,0.73,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Germany,0.707,0.637,0.736,0.808,0.573,0.838,0.843,0.707,0.637,0.736,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Haiti,0.529,0.534,0.508,0.481,0.496,0.409,,0.529,0.534,0.508,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Iran,0.583,0.555,0.576,0.66,0.568,0.636,,0.583,0.555,0.576,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Iraq,0.527,0.541,0.544,0.475,0.52,0.531,,0.527,0.541,0.544,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Ivory Coast,0.563,0.621,0.616,0.594,0.785,0.769,,0.563,0.621,0.616,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Japan,0.603,0.573,0.608,0.725,0.628,0.742,,0.603,0.573,0.608,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Jordan,0.567,0.517,0.532,0.607,0.439,0.49,,0.567,0.517,0.532,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Morocco,0.661,0.708,0.74,0.652,0.809,0.85,0.852,0.661,0.708,0.74,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Netherlands,0.695,0.623,0.657,0.767,0.528,0.654,0.851,0.695,0.623,0.657,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
New Zealand,0.562,0.52,0.527,0.589,0.449,0.473,,0.562,0.52,0.527,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Norway,0.724,0.638,0.725,0.862,0.611,0.843,0.766,0.724,0.638,0.725,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Paraguay,0.528,0.559,0.55,0.478,0.581,0.55,,0.528,0.559,0.55,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Saudi Arabia,0.519,0.552,0.524,0.446,0.558,0.463,,0.519,0.552,0.524,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Scotland,0.548,0.557,0.557,0.542,0.574,0.575,,0.548,0.557,0.557,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Senegal,0.581,0.571,0.59,0.654,0.619,0.684,,0.581,0.571,0.59,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Spain,0.68,0.666,0.722,0.718,0.671,0.79,0.891,0.68,0.666,0.722,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Sweden,0.597,0.492,0.561,0.706,0.357,0.586,,0.597,0.492,0.561,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Tunisia,0.547,0.548,0.537,0.541,0.544,0.508,,0.547,0.548,0.537,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
Turkey,0.545,0.543,0.567,0.533,0.526,0.608,,0.545,0.543,0.567,0.0,0.0,0.0,generated_from_behavior,generated_from_behavior,,missing_external_benchmark,External benchmark missing; rating unchanged.
United States,0.685,0.617,0.679,0.734,0.518,0.719,0.816,0.685,0.617,0.679,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
Uruguay,0.57,0.667,0.572,0.393,0.673,0.481,0.818,0.57,0.667,0.572,0.0,0.0,0.0,external_benchmark_calibrated,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,internal_below_external_by_more_than_0_12,Existing external benchmark calibrated rating preserved; rerunning calibration is idempotent.
